Tanggal,Harga
2025-07-22,1946000
2025-07-21,1927000
2025-07-19,1927000
2025-07-18,1917000
2025-07-17,1919000
2025-07-16,1908000
2025-07-15,1914000
2025-07-14,1924000
2025-07-12,1919000
2025-07-11,1906000
2025-07-10,1902000
2025-07-09,1894000
2025-07-08,1906000
2025-07-07,1901000
2025-07-04,1907000
2025-07-03,1911000
2025-07-02,1913000
2025-07-01,1896000
2025-06-30,1880000
2025-06-29,1884000
2025-06-28,1884000
2025-06-27,1907000
2025-06-26,1924000
2025-06-25,1932000
2025-06-24,1932000
2025-06-23,1942000
2025-06-22,1942000
2025-06-21,1942000
2025-06-20,1936000
2025-06-19,1937000
2025-06-18,1943000
2025-06-17,1950000
2025-06-16,1968000
2025-06-14,1960000
2025-06-13,1951000
2025-06-12,1928000
2025-06-11,1910000
2025-06-10,1909000
2025-06-09,1909000
2025-06-07,1904000
2025-06-06,1929000
2025-06-05,1938000
2025-06-04,1924000
2025-06-03,1940000
2025-06-02,1905000
2025-05-31,1888000
2025-05-30,1888000
2025-05-29,1874000
2025-05-28,1895000
2025-05-27,1923000
2025-05-26,1919000
2025-05-24,1930000
2025-05-23,1910000
2025-05-22,1915000
2025-05-21,1894000
2025-05-20,1871000
2025-05-19,1894000
2025-05-17,1871000
2025-05-16,1891000
2025-05-15,1866000
2025-05-14,1886000
2025-05-13,1884000
2025-05-12,1905000
2025-05-11,1928000
2025-05-10,1928000
2025-05-09,1926000
2025-05-08,1953000
2025-05-07,1956000
2025-05-06,1931000
2025-05-05,1905000
2025-05-03,1902000
2025-05-02,1912000
2025-05-01,1932000
2025-04-30,1965000
2025-04-29,1966000
2025-04-28,1960000
2025-04-26,1965000
2025-04-25,1986000
2025-04-24,1969000
2025-04-23,2039000
2025-04-22,2016000
2025-04-21,1980000
2025-04-19,1965000
2025-04-18,1965000
2025-04-17,1975000
2025-04-16,1916000
2025-04-15,1896000
2025-04-14,1896000
2025-04-12,1904000
2025-04-11,1889000
2025-04-10,1846000
2025-04-09,1777000
2025-04-08,1754000
2025-04-07,1758000
2025-04-05,1781000
2025-04-04,1819000
2025-04-03,1836000
2025-04-02,1819000
2025-04-01,1826000
2025-03-31,1806000
2025-03-30,1806000
2025-03-29,1806000
2025-03-27,1776000
2025-03-26,1769000
2025-03-25,1759000
2025-03-24,1765000
2025-03-22,1764000
2025-03-21,1779000
2025-03-20,1774000
2025-03-19,1759000
2025-03-18,1745000
2025-03-17,1741000
2025-03-15,1739000
2025-03-14,1742000
2025-03-13,1714000
2025-03-12,1702000
2025-03-11,1679000
2025-03-10,1693000
2025-03-08,1690000
2025-03-07,1690000
2025-03-06,1706000
2025-03-05,1709000
2025-03-04,1704000
2025-03-03,1679000
2025-03-01,1672000
2025-02-28,1678000
2025-02-27,1692000
2025-02-26,1694000
2025-02-25,1707000
2025-02-24,1705000
2025-02-22,1704000
2025-02-21,1707000
2025-02-20,1708000
2025-02-19,1691000
2025-02-18,1679000
2025-02-17,1671000
2025-02-15,1678000
2025-02-14,1701000
2025-02-13,1692000
2025-02-12,1684000
2025-02-11,1692000
2025-02-10,1667000
2025-02-09,1662000
2025-02-08,1662000
2025-02-07,1660000
2025-02-06,1670000
2025-02-05,1663000
2025-02-04,1650000
2025-02-03,1621000
2025-02-02,1624000
2025-02-01,1624000
2025-01-31,1620000
2025-01-30,1606000
2025-01-29,1607000
2025-01-28,1597000
2025-01-27,1609000
2025-01-26,1611000
2025-01-25,1611000
2025-01-24,1608000
2025-01-23,1607000
2025-01-22,1606000
2025-01-21,1591000
2025-01-20,1585000
2025-01-18,1587000
2025-01-17,1594000
2025-01-16,1577000
2025-01-15,1564000
2025-01-14,1560000
2025-01-13,1568000
2025-01-12,1568000
2025-01-11,1568000
2025-01-10,1555000
2025-01-09,1546000
2025-01-08,1541000
2025-01-07,1535000
2025-01-06,1539000
2025-01-05,1539000
2025-01-04,1539000
2025-01-03,1543000
2024-12-27,1520000
2024-12-26,1520000
2024-12-25,1520000
2024-12-25,1520000
2024-12-24,1520000
2024-12-23,1533000
2024-12-22,1533000
2024-12-21,1533000
2024-12-20,1515000
2024-12-19,1505000
2024-12-18,1520000
2024-12-17,1520000
2024-12-16,1517000
2024-12-15,1517000
2024-12-14,1531000
2024-12-13,1531000
2024-12-12,1548000
2024-12-11,1534000
2024-12-10,1517000
2024-12-09,1508000
2024-12-08,1508000
2024-12-07,1508000
2024-12-06,1514000
2024-12-05,1522000
2024-12-04,1513000
2024-12-03,1514000
2024-12-02,1509000
2024-12-01,1514000
2024-11-30,1508000
2024-11-29,1508000
2024-11-28,1513000
2024-11-27,1504000
